"titulo","empresa","ubicacion","publicado","enlace","pagina","contrato","requisitos","descripcion","salario"
"Asesor de ventas tienda Charly","Grupo Charly / Skechers","Villahermosa, Tabasco","Hace 3 días (actualizada)","https://mx.computrabajo.com/trabajo-de-futbolista#ADB00ED5C9E2467B61373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General"",""Edad: entre 18 y 35 años""]","Te invitamos a formar parte de la familia Charly en Plaza SENDERO VILLAHERMOSA, como asesor (a) de ventas, contrato indeterminado (de planta), con o sin experiencia. ¡¡Contratación inmediata!! ¿Qué te ofrecemos? -Salario: $ 8,500 mensuales (sujeto a deducciones) + comisiones quincenales. -Bono de bienvenida: $ 600.00 (pago por única ocasión). -Bono de puntualidad: 4% del salario mensual -Bono de asistencia: 6% del salario mensual **Importante mencionar que todos los montos mensuales mencionados se calculan para su pago de manera semanal (7 días). -Jornada completa de lunes a domingo -Horarios: 9:30 am a 09:00 pm -Dos descansos a la semana (entre semana rotativos). -Pago semanal (los días jueves) -Fondo de ahorro: 4% (por cada peso ahorrado, la empresa te pone otro peso). -Caja de ahorro (opcional). -Descuentos permanentes en tienda del 35% tanto para la marca skechers, como Charly. -Uniformes (nosotros te facilitamos tus playeras). -Obsequios de cumpleaños y aniversario. -Programa de capacitación y entrenamiento desde el día 1 de ingreso. -Prestaciones de ley (desde el primer día): SEGURO SOCIAL, FONACOT, INFONAVIT, vacaciones (disfrute de vacaciones a partir de los 6 meses de antigüedad), aguinaldo de 15 días, prima vacacional y dominical. ¡¡Excelente ambiente de trabajo!! “Actividades” Atención a clientes, cobro de mercancía, ventas de calzado, ropa deportiva y accesorios, limpieza en general, sensoreo y etiquetado de mercancía, planchado de ropa, exhibición de mercancía, recepción y traspaso de mercancía, ingreso al sistema de la mercancía. Sino tienes experiencia, ¡no te preocupes! nosotros contamos con un programa de capacitación en acompañamiento con el gerente de tienda.","$ 8,500.00 (Mensual) + Comisiones"
"Asesor de ventas tienda Charly","Grupo Charly / Skechers","San Nicolás de los Garza, Nuevo León","Hace 2 horas","https://mx.computrabajo.com/trabajo-de-futbolista#12448EE42E9A653261373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General"",""Edad: entre 18 y 40 años""]","Únete a nuestro equipo de trabajo... Te invitamos a participar en nuestro proceso de selección para la vacante de vendedor de tiempo completo en Grupo Charly. TENEMOS PARA TI: * Sueldo Base semanal * Esquema de comisiones quincenal * Prestaciones de ley (IMSS desde el primer día, Infonavit, Fonacot, aguinaldo, vacaciones, prima vacacional) * Fondo de ahorro * Caja de ahorro * Bono de puntualidad * Bono de Asistencia * Bono de transporte * Créditos de empleados * A partir de los 6 meses de antigüedad puedes anticipar vacaciones. * 2 días de descanso entre semana Sólo debes contar con los siguientes requisitos: * Mayores de edad (Indispensable INE vigente y Constancia de Situación Fiscal (RFC) * Experiencia no necesaria, nosotros te capacitamos * Gusto por las ventas y atención al cliente * Dinámico * Preferentemente viva cerca o en San Nicolás de los Garzas","$ 12,000.00 (Mensual) + Comisiones"
"Asesor de ventas tienda Charly","Grupo Charly / Skechers","Apodaca, Nuevo León","Hace 2 horas","https://mx.computrabajo.com/trabajo-de-futbolista#26DD91ABD885717E61373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General"",""Edad: entre 18 y 40 años""]","Únete a nuestro equipo de trabajo... Te invitamos a participar en nuestro proceso de selección para la vacante de vendedor de tiempo completo en Grupo Charly. TENEMOS PARA TI: * Sueldo Base semanal * Esquema de comisiones quincenal * Prestaciones de ley (IMSS desde el primer día, Infonavit, Fonacot, aguinaldo, vacaciones, prima vacacional) * Fondo de ahorro * Caja de ahorro * Bono de puntualidad * Bono de Asistencia * Bono de transporte * Créditos de empleados * A partir de los 6 meses de antigüedad puedes anticipar vacaciones. * 2 días de descanso entre semana Sólo debes contar con los siguientes requisitos: * Mayores de edad (Indispensable INE vigente y Constancia de Situación Fiscal (RFC) * Experiencia no necesaria, nosotros te capacitamos * Gusto por las ventas y atención al cliente * Dinámico * Preferentemente viva cerca o en Apodaca.","$ 12,000.00 (Mensual) + Comisiones"
"Asesor de ventas tienda Charly","Grupo Charly / Skechers","Tuxtla Gutiérrez, Chiapas","Hace 2 días (actualizada)","https://mx.computrabajo.com/trabajo-de-futbolista#59603D3BA562E82F61373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General"",""Edad: entre 18 y 35 años""]","Te invitamos a formar parte de la familia SKECHERS en Plaza GALERIAS BLVD, como asesor (a) de ventas, contrato indeterminado (de planta), con o sin experiencia. ¡¡Contratación inmediata!! ¿Qué te ofrecemos? -Salario: $ 8,500 mensuales (sujeto a deducciones) + comisiones quincenales. -Bono de bienvenida: $ 600.00 (pago por única ocasión). -Bono de puntualidad: 4% del salario mensual -Bono de asistencia: 6% del salario mensual **Importante mencionar que todos los montos mensuales mencionados se calculan para su pago de manera semanal (7 días). -Jornada completa de lunes a domingo -Horarios: 9:30 am a 09:00 pm -Dos descansos a la semana (entre semana rotativos). -Pago semanal (los días jueves) -Fondo de ahorro: 4% (por cada peso ahorrado, la empresa te pone otro peso). -Caja de ahorro (opcional). -Descuentos permanentes en tienda del 35% tanto para la marca skechers, como Charly. -Uniformes (nosotros te facilitamos tus playeras). -Obsequios de cumpleaños y aniversario. -Programa de capacitación y entrenamiento desde el día 1 de ingreso. -Prestaciones de ley (desde el primer día): SEGURO SOCIAL, FONACOT, INFONAVIT, vacaciones (disfrute de vacaciones a partir de los 6 meses de antigüedad), aguinaldo de 15 días, prima vacacional y dominical. ¡¡Excelente ambiente de trabajo!! “Actividades” Recepción y acomodo de mercancía, inventarios. Sino tienes experiencia, ¡no te preocupes! nosotros contamos con un programa de capacitación en acompañamiento con el gerente de tienda.","$ 8,500.00 (Mensual) + Comisiones"
"Asesor de ventas tienda Charly","Grupo Charly / Skechers","Tapachula, Chiapas","Hace 2 horas (actualizada)","https://mx.computrabajo.com/trabajo-de-futbolista#49EF4CFAB883074461373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General"",""Edad: entre 18 y 35 años""]","Te invitamos a formar parte de la familia Skechers en Plaza ALAIA TAPACHULA, como asesor (a) de ventas TEMPORAL 3 MESES (CUBRE INCAPACIDAD) con o sin experiencia. ¡¡Contratación inmediata!! ¿Qué te ofrecemos? -Salario: $ 8,500 mensuales (sujeto a deducciones) + comisiones quincenales. -Bono de bienvenida: $ 600.00 (pago por única ocasión). -Bono de puntualidad: 4% del salario mensual -Bono de asistencia: 6% del salario mensual **Importante mencionar que todos los montos mensuales mencionados se calculan para su pago de manera semanal (7 días). -Jornada completa de lunes a domingo -Horarios: 09:30 am a 09:00 pm -Dos descansos a la semana (entre semana). -Pago semanal (los días jueves) -Fondo de ahorro: 4% (por cada peso ahorrado, la empresa te pone otro peso). -Caja de ahorro (opcional). -Descuentos permanentes en tienda del 35% tanto para la marca skechers, como Charly. -Uniformes (nosotros te facilitamos tus playeras). -Obsequios de cumpleaños y aniversario. -Programa de capacitación y entrenamiento desde el día 1 de ingreso. -Prestaciones de ley (desde el primer día): SEGURO SOCIAL, FONACOT, INFONAVIT, vacaciones (disfrute de vacaciones a partir de los 6 meses de antigüedad), aguinaldo de 15 días, prima vacacional y dominical. ¡¡Excelente ambiente de trabajo!! “Actividades” Atención a clientes, cobro de mercancía, ventas de calzado, ropa deportiva y accesorios, limpieza en general, sensoreo y etiquetado de mercancía, planchado de ropa, exhibición de mercancía, recepción y traspaso de mercancía, ingreso al sistema de la mercancía. Sino tienes experiencia, ¡no te preocupes! nosotros contamos con un programa de capacitación en acompañamiento con el gerente de tienda.","$ 8,500.00 (Mensual) + Comisiones"
"Asesor de ventas tienda Charly","Grupo Charly / Skechers","Villahermosa, Tabasco","Hace 3 días (actualizada)","https://mx.computrabajo.com/trabajo-de-futbolista#A5DD25187316A5F561373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General"",""1 año de experiencia"",""Edad: entre 20 y 45 años""]","Te invitamos a formar parte de la familia Skechers POR APERTURA en Plaza GALERÍAS TABASCO, como Subgerente de tienda, contrato indeterminado (de planta). ¡¡Contratación inmediata!! ¿Qué te ofrecemos? -Salario: $ 10,350.00 mensuales brutos (sujeto a deducciones) + comisiones quincenales -Bono de bienvenida: $ 800 (subgerente) (pago por única ocasión). -Bono de puntualidad: 4% del salario mensual -Bono de asistencia: 6% del salario mensual Importante mencionar que todos los montos mensuales mencionados se calculan para su pago de manera semanal (7 días). -Jornada completa de lunes a domingo -Horarios: 10:30 am a 09:00 pm -Dos descansos a la semana (entre semana rotativos). -Pago semanal -Fondo de ahorro: 4% (por cada peso ahorrado, la empresa te pone otro peso). -Caja de ahorro (opcional). -Descuentos permanentes en tienda -Uniformes -Obsequios de cumpleaños y aniversario. -Programa de capacitación y entrenamiento desde el día 1 de ingreso. -Prestaciones de ley (desde el primer día): SEGURO SOCIAL, FONACOT, INFONAVIT, vacaciones (disfrute de vacaciones a partir de los 6 meses de antigüedad), aguinaldo de 15 días, prima vacacional y dominical. ¡¡Excelente ambiente de trabajo!! Actividades/funciones: atención a clientes (ventas), cobro de mercancía, acomodo de mercancía en bodega, traspasos de mercancía, ingreso de mercancía en sistema, recepción de mercancía, apertura y cierre de tienda, seguimiento a facturas, reportes fotográficos, interpretación y manejo de KPI´S, ejecución de inventarios semanales y mensuales, manejo de personal, elaboración de horarios, capacitación de personal, entrevista y selección de personal. Habilidades/conocimientos: estándares de visual Merchandising (Mercadeo), proactivo, facilidad de palabra, gusto por las ventas, servicio al cliente, gestión y logro de objetivos, autocontrol de emociones, trabajo en equipo, planeación y organización, adaptabilidad al cambio, capacidad para aprender, comunicación efectiva, retroalimentación objetiva a su equipo de forma constante, persuasivo, inteligencia emocional, actitud positiva.","$ 10,350.00 (Mensual) + Comisiones"
"Asesor de ventas tienda Charly","Grupo Charly / Skechers","Saltillo, Coahuila","Hace 2 horas","https://mx.computrabajo.com/trabajo-de-futbolista#718FA2F786F1B08A61373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General"",""Menos de 1 año de experiencia"",""Edad: entre 23 y 40 años""]","GRUPO CHARLY / SKECHERS, ¡TU CARRERA COMIENZA AQUÍ! Somos una empresa líder a nivel nacional en la venta de calzado, textil y accesorios deportivos. Tenemos vacante como GERENTE (TIEMPO COMPLETO) ¿Qué necesitas para ingresar? * Escolaridad mínima: Bachillerato concluido * Contar con experiencia comprobable en algún puesto similar de al menos 6 meses *Inventarios *Manejo de indicadores *Acomodo y recepción de mercancía *Documentos en regla, así como contar con buenas referencias laborales y personales *Disponibilidad de tiempo completo ¿Qué ofrecemos? *Sueldo base (pago semanal) * Esquema de comisiones (variable de acuerdo a alcance de objetivos) (pago quincenal) *Bono de puntualidad y asistencia *Prestaciones de ley *Fondo de Ahorro del 4% *Descuentos en tiendas el grupo *Vacaciones a los 6 meses *Dos días de descanso (entre semana) *FONACOT * Uniformes sin costo Actividades: *Apertura y cierre de tienda *Entrega de valores *Atención clientes y proveedores *Recepción de mercancía *Inventario *Llenado y envío de reportes administrativos *Generar estrategias para alcance de metas * Manejo de personal","$ 18,000.00 (Mensual) + Comisiones"
"Asesor de ventas tienda Charly","Grupo Charly / Skechers","Apodaca, Nuevo León","Hace 2 horas","https://mx.computrabajo.com/trabajo-de-futbolista#C30845F4DF1A3A9461373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General"",""Menos de 1 año de experiencia"",""Edad: entre 23 y 40 años""]","GRUPO CHARLY / SKECHERS, ¡TU CARRERA COMIENZA AQUÍ! Somos una empresa líder a nivel nacional en la venta de calzado, textil y accesorios deportivos. Tenemos vacante como SUBGERENTE (TIEMPO COMPLETO) ¿Qué necesitas para ingresar? * Escolaridad mínima: Bachillerato concluido * Contar con experiencia comprobable en algún puesto similar de al menos 6 meses *Inventarios *Manejo de indicadores *Acomodo y recepción de mercancía *Documentos en regla, así como contar con buenas referencias laborales y personales *Disponibilidad de tiempo completo ¿Qué ofrecemos? *Sueldo base (pago semanal) * Esquema de comisiones (variable de acuerdo a alcance de objetivos) (pago quincenal) *Bono de puntualidad y asistencia *Prestaciones de ley *Fondo de Ahorro del 4% *Descuentos en tiendas el grupo *Vacaciones a los 6 meses *Dos días de descanso (entre semana) *FONACOT * Uniformes sin costo Actividades: *Apertura y cierre de tienda *Entrega de valores *Atención clientes y proveedores *Recepción de mercancía *Inventario *Llenado y envío de reportes administrativos *Generar estrategias para alcance de metas * Manejo de personal","$ 15,000.00 (Mensual) + Comisiones"
"Asesor de ventas tienda Charly","Grupo Charly / Skechers","Monterrey, Nuevo León","Hace 2 horas","https://mx.computrabajo.com/trabajo-de-futbolista#3A76033EBC6F912261373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación media superior -Bachillerato General"",""Edad: entre 18 y 40 años""]","Únete a nuestro equipo de trabajo... Te invitamos a participar en nuestro proceso de selección para la vacante de vendedor de tiempo completo en Grupo Charly. TENEMOS PARA TI: * Sueldo Base semanal * Esquema de comisiones quincenal * Prestaciones de ley (IMSS desde el primer día, Infonavit, Fonacot, aguinaldo, vacaciones, prima vacacional) * Fondo de ahorro * Caja de ahorro * Bono de puntualidad * Bono de Asistencia * Bono de transporte * Créditos de empleados * A partir de los 6 meses de antigüedad puedes anticipar vacaciones. * 2 días de descanso entre semana Sólo debes contar con los siguientes requisitos: * Mayores de edad (Indispensable INE vigente y Constancia de Situación Fiscal (RFC) * Experiencia no necesaria, nosotros te capacitamos * Gusto por las ventas y atención al cliente * Dinámico * Preferentemente viva cerca o en el municipio de San Pedro.","$ 12,000.00 (Mensual) + Comisiones"
"Asesor de ventas tienda Charly","Grupo Charly / Skechers","León, Guanajuato","Hace 6 horas (actualizada)","https://mx.computrabajo.com/trabajo-de-futbolista#16C628383EE0A51C61373E686DCF3405",1,"Contrato por tiempo indeterminado","[""Educación mínima: Educación secundaria"",""Menos de 1 año de experiencia"",""Edad: entre 18 y 30 años""]","1. Búsqueda e identificación de mercancías de manera física. 2. Colocación de ID a la mercancía. 3. Armar e ingresar TPS en WMS. 4. Realizar la separación por clasificación y empacado del producto no conforme. 5. Cambiar el empaque físico en caso de mercancía dañada. 6. Ejecutar la asignación de trabajos en WMS a través de la terminal. 7. Recibir, contar y validar la mercancía de arribo a Logística Inversa. 8. Realizar las actividades de orden y limpieza que requiera la operación. 9. Ejecutar la búsqueda de mercancía determinada según el plan de trabajo. 10. Realizar las actividades de orden y limpieza que requiera la operación.","A convenir"
